strain,accession,subtype,date,host,country,region,species,broad,order
A/Aichi/2/1968|1968-01-01,AB284320,H3N2,1968-01-01,Human,Japan,Japan Korea,Human,human,Human
A/Albany/1/1969|1969-01-01,CY019899,H3N2,1969-01-01,Human,Usa,North America,Human,human,Human
A/Albany/1/1970|1970-01-01,CY022938,H3N2,1970-01-01,Human,Usa,North America,Human,human,Human
A/Albany/1/1976|1976-01-01,CY021941,H3N2,1976-01-01,Human,Usa,North America,Human,human,Human
A/Albany/10/1968|1968-01-01,CY021845,H3N2,1968-01-01,Human,Usa,North America,Human,human,Human
A/Albany/11/1968|1968-01-01,CY019891,H3N2,1968-01-01,Human,Usa,North America,Human,human,Human
A/Albany/14/1978|1978-01-01,CY020221,H3N2,1978-01-01,Human,Usa,North America,Human,human,Human
A/Albany/15/1976|1976-01-01,CY021829,H3N2,1976-01-01,Human,Usa,North America,Human,human,Human
A/Albany/17/1968|1968-01-01,CY021109,H3N2,1968-01-01,Human,Usa,North America,Human,human,Human
A/Albany/19/1968|1968-01-01,CY019907,H3N2,1968-01-01,Human,Usa,North America,Human,human,Human
A/Albany/20/1974|1974-01-01,CY021093,H3N2,1974-01-01,Human,Usa,North America,Human,human,Human
A/Albany/3/1969|1969-01-01,CY019915,H3N2,1969-01-01,Human,Usa,North America,Human,human,Human
A/Albany/3/1970|1970-01-01,CY022946,H3N2,1970-01-01,Human,Usa,North America,Human,human,Human
A/Albany/4/1969|1969-01-01,CY021837,H3N2,1969-01-01,Human,Usa,North America,Human,human,Human
A/Albany/4/1977|1977-01-01,CY021101,H3N2,1977-01-01,Human,Usa,North America,Human,human,Human
A/Albany/42/1975|1975-01-01,CY021077,H3N2,1975-01-01,Human,Usa,North America,Human,human,Human
A/Albany/6/1968|1968-01-01,CY022085,H3N2,1968-01-01,Human,Usa,North America,Human,human,Human
A/Albany/6/1970|1970-01-01,CY021117,H3N2,1970-01-01,Human,Usa,North America,Human,human,Human
A/Alchi/2/1968|1968-01-01,KX879573,H3N2,1968-01-01,Human,Japan,Japan Korea,Human,human,Human
A/Amsterdam/1609/1977|1977-01-01,CY113229,H3N2,1977-01-01,Human,Netherlands,Europe,Human,human,Human
A/Auckland/10/1997|1997-08-01,CY114293,H3N2,1997-08-01,Human,New Zealand,Oceania,Human,human,Human
A/Auckland/604/2001|2001-09-28,CY023066,H3N2,2001-09-28,Human,New Zealand,Oceania,Human,human,Human
A/Australia/34/2009|2009-07-24,CY080555,H3N2,2009-07-24,Human,Australia,Oceania,Human,human,Human
A/Bangkok/1/1979|1979-01-01,CY121000,H3N2,1979-01-01,Human,Thailand,Southeast Asia,Human,human,Human
A/Beijing/1/1968|1968-01-01,CY008156,H3N2,1968-01-01,Human,China,China,Human,human,Human
A/Beijing/39/1975|1975-01-01,CY006044,H3N2,1975-01-01,Human,China,China,Human,human,Human
A/Belgium/8876/2019|2019-01-29,MK927682,H3N2,2019-01-29,Human,Belgium,Europe,Human,human,Human
A/Bilthoven/15793/1968|1968-01-01,CY112233,H3N2,1968-01-01,Human,Netherlands,Europe,Human,human,Human
A/Bilthoven/16190/1968|1968-01-01,KC296480,H3N2,1968-01-01,Human,Netherlands,Europe,Human,human,Human
A/Bilthoven/16398/1968|1968-01-01,CY112241,H3N2,1968-01-01,Human,Netherlands,Europe,Human,human,Human
A/Bilthoven/1761/1976|1976-01-01,CY077793,H3N2,1976-01-01,Human,Netherlands,Europe,Human,human,Human
A/Bilthoven/17938/1969|1969-01-01,CY113053,H3N2,1969-01-01,Human,Netherlands,Europe,Human,human,Human
A/Bilthoven/1843/1975|1975-01-01,CY113157,H3N2,1975-01-01,Human,Netherlands,Europe,Human,human,Human
A/Bilthoven/21438/1971|1971-01-01,CY113061,H3N2,1971-01-01,Human,Netherlands,Europe,Human,human,Human
A/Bilthoven/21793/1972|1972-01-01,CY077820,H3N2,1972-01-01,Human,Netherlands,Europe,Human,human,Human
A/Bilthoven/21801/1971|1971-01-01,CY113069,H3N2,1971-01-01,Human,Netherlands,Europe,Human,human,Human
