location,flyway
aguas_calientes,central_flyway
alabama,mississippi_flyway
alaska,pacific_flyway
alberta,central_flyway
arizona,pacific_flyway
arkansas,mississippi_flyway
baja_california,pacific_flyway
baja_california_sur,pacific_flyway
british_columbia,pacific_flyway
california,pacific_flyway
campeche,central_flyway
chiapas,central_flyway
chihuahua,central_flyway
ciudad_de_mexico,central_flyway
coahuila,central_flyway
colima,central_flyway
colorado,central_flyway
connecticut,atlantic_flyway
costarica,central_flyway
delaware,atlantic_flyway
durango,central_flyway
elmarques,central_flyway
florida,atlantic_flyway
georgia,atlantic_flyway
gomez_palacio,central_flyway
guanajuato,central_flyway
guatemala,central_flyway
guerrero,central_flyway
hawaii,pacific_flyway
hidalgo,central_flyway
honduras,central_flyway
idaho,pacific_flyway
illinois,mississippi_flyway
indiana,mississippi_flyway
iowa,mississippi_flyway
jalisco,central_flyway
jojutla,central_flyway
kansas,central_flyway
kentucky,mississippi_flyway
laluz,unknown
larmierbyc,unknown
libres,central_flyway
lodevilla,unknown
louisiana,mississippi_flyway
maine,atlantic_flyway
manitoba,mississippi_flyway
maryland,atlantic_flyway
massachusetts,atlantic_flyway
mexico_state,central_flyway
michigan,mississippi_flyway
michoacan,central_flyway
minnesota,mississippi_flyway
mississippi,mississippi_flyway
missouri,mississippi_flyway
montana,central_flyway
morelos,central_flyway
nan,unknown
nayarit,central_flyway
nebraska,central_flyway
nevada,pacific_flyway
new_brunswick,atlantic_flyway
newfoundland,atlantic_flyway
new_hampshire,atlantic_flyway
new_jersey,atlantic_flyway
new_mexico,central_flyway
new_york,atlantic_flyway
north_carolina,atlantic_flyway
north_dakota,central_flyway
northwest_territories,central_flyway
nova_scotia,atlantic_flyway
nuevoleon,central_flyway
nunavut,mississippi_flyway
oaxaca,central_flyway
ohio,mississippi_flyway
oklahoma,central_flyway
ontario,mississippi_flyway
oregon,pacific_flyway
panama,central_flyway
pennsylvania,atlantic_flyway
prince_edward_island,atlantic_flyway
puebla,central_flyway
quebec,atlantic_flyway
queretaro,central_flyway
quintanaroo,central_flyway
rhode_island,atlantic_flyway
sanluispotosi,central_flyway
saskatchewan,central_flyway
sinaloa,pacific_flyway
sonora,pacific_flyway
south_carolina,atlantic_flyway
south_dakota,central_flyway
tabasco,central_flyway
tamalipas,central_flyway
tehuitzingo,central_flyway
temascalapa,central_flyway
tennessee,mississippi_flyway
tepatitlan_de_morelos,central_flyway
teocuitatlan_de_corona,central_flyway
texas,central_flyway
texcoco,central_flyway
tlaxcala,central_flyway
unknown,unknown
usa,unknown
utah,pacific_flyway
veracruz,central_flyway
vermont,atlantic_flyway
virginia,atlantic_flyway
washington,pacific_flyway
west_virginia,atlantic_flyway
wisconsin,mississippi_flyway
wyoming,central_flyway
yucatan,central_flyway
yukon,pacific_flyway
zalcatecas,central_flyway
ny,atlantic_flyway
alb,central_flyway
delaware_bay,central_flyway
interior_alaska,pacific_flyway
barrow,pacific_flyway
mn,mississippi_flyway
nunavet,mississippi_flyway
canada,unknown
nj,atlantic_flyway
southcentral_alaska,pacific_flyway
708,atlantic_flyway
17OS4133,unknown
newfoundland_and_labrador,atlantic_flyway
oh,mississippi_flyway
st._john's,atlantic_flyway
ia,mississippi_flyway
il,mississippi_flyway
ks,central_flyway
lousiana,mississippi_flyway
sd,central_flyway
ut,pacific_flyway
la,mississippi_flyway
memohis,mississippi_flyway
memphis,mississippi_flyway
ak,mississippi_flyway
ab,central_flyway
bc,pacific_flyway
mn,mississippi_flyway
ca,pacific_flyway
id,pacific_flyway
in,mississippi_flyway
me,atlantic_flyway
mi,mississippi_flyway
nh,atlantic_flyway
or,pacific_flyway
vt,atlantic_flyway
qc,atlantic_flyway
de,atlantic_flyway
co,central_flyway
_minnesota,mississippi_flyway
canada-bc,pacific_flyway
canada-manitoba,atlantic_flyway
canada-ontario,atlantic_flyway
mo,mississippi_flyway
nc,atlantic_flyway
on,atlantic_flyway
usa,unknown
mexico,central_flyway
