strain,accession,subtype,date,host,country,region,species,broad,order
#A_Equine_Sweden_SVA111208SZ0077VIR167906_2011|2011-12-07,EPI620258,H3N8,2011-12-07,Equine,Sweden,Europe,Equine,equine,Equine
A-duck-Ibaraki-1-2016-E1_S1|2016-10-18,EPI866753,H3N8,2016-10-18,Avian,Japan,Japan Korea,Duck,duck,Anseriformes
A/Aichi/2-1/1968|1968-01-01,AB847411,H3N2,1968-01-01,Human,Japan,Japan Korea,Human,human,Human
A/Aichi/2/1968|1968-01-01,AB284320,H3N2,1968-01-01,Human,Japan,Japan Korea,Human,human,Human
A/Albany/1/1969|1969-01-01,CY019899,H3N2,1969-01-01,Human,Usa,North America,Human,human,Human
A/Albany/1/1970|1970-01-01,CY022938,H3N2,1970-01-01,Human,Usa,North America,Human,human,Human
A/Albany/1/1976|1976-01-01,CY021941,H3N2,1976-01-01,Human,Usa,North America,Human,human,Human
A/Albany/10/1968|1968-01-01,CY021845,H3N2,1968-01-01,Human,Usa,North America,Human,human,Human
A/Albany/11/1968|1968-01-01,CY019891,H3N2,1968-01-01,Human,Usa,North America,Human,human,Human
A/Albany/14/1978|1978-01-01,CY020221,H3N2,1978-01-01,Human,Usa,North America,Human,human,Human
A/Albany/15/1976|1976-01-01,CY021829,H3N2,1976-01-01,Human,Usa,North America,Human,human,Human
A/Albany/17/1968|1968-01-01,CY021109,H3N2,1968-01-01,Human,Usa,North America,Human,human,Human
A/Albany/18/1968|1968-01-01,CY020525,H3N2,1968-01-01,Human,Usa,North America,Human,human,Human
A/Albany/19/1968|1968-01-01,CY019907,H3N2,1968-01-01,Human,Usa,North America,Human,human,Human
A/Albany/2/1970|1970-01-01,CY021085,H3N2,1970-01-01,Human,Usa,North America,Human,human,Human
A/Albany/20/1974|1974-01-01,CY021093,H3N2,1974-01-01,Human,Usa,North America,Human,human,Human
A/Albany/3/1969|1969-01-01,CY019915,H3N2,1969-01-01,Human,Usa,North America,Human,human,Human
