name, date
A-duck-Ibaraki-1-2016-E1_S1|2016-10-18, 2016.79
A/duck/Ibaraki/1/2016|2016-01-01, 2016.00
A/duck/Hokkaido/102/2014|2014-09-23, 2014.72
A/duck/Hokkaido/103/2014|2014-09-23, 2014.72
A/duck/Hokkaido/91/2014|2014-09-19, 2014.71
A/baikal_teal/Shanghai/SH-90/2013|2013-11-01, 2013.82
A/northern_pintail/Alaska/993/2011|2011-10-04, 2011.75
A/common_Teal/Yakutia/128/2020|2020-08-14, 2020.61
A/common_Teal/Yakutia/57x/2020|2020-08-15, 2020.62
A/common_Teal/Yakutia/59x/2020|2020-08-15, 2020.62
A/common_Teal/Yakutia/60x/2020|2020-08-15, 2020.62
A/european_wigeon/Yakutia/55/2020|2020-08-13, 2020.61
A/common_Teal/Yakutia/49/2020|2020-08-13, 2020.61
A/mallard/Yakutia/11/2020|2020-08-13, 2020.61
A/mallard/Yakutia/21/2020|2020-08-13, 2020.61
A/shoveler/Yakutia/25/2020|2020-08-13, 2020.61
A/shoveler/Yakutia/65/2020|2020-08-14, 2020.61
A/northern_pintail/Yakutia/14/2020|2020-08-13, 2020.61
A/garganey/Yakutia/94/2020|2020-08-14, 2020.61
A/garganey/Yakutia/98/2020|2020-08-14, 2020.61
A/duck/Hokkaido/10/2015|2015-10-09, 2015.76
A/wild_duck/Shandong/W6252/2019|2019-10-08, 2019.76
A/northern_pintail/Alaska/496/2012|2012-09-27, 2012.73
A/common_teal/Russia_Primorje/113T/2020|2020-10-08, 2020.76
A/northern_pintail/Russia_Primorje/96T/2020|2020-10-03, 2020.75
A/aquatic_bird/Gunsan/146/2006|2006-01-17, 2006.05
A/avian/Japan/8KI0040/2008|2008-10-08, 2008.76
A/avian/Japan/8KI0067/2008|2008-10-08, 2008.76
A/avian/Japan/8KI0068/2008|2008-10-08, 2008.76
A/avian/Japan/8KI0129/2008|2008-10-08, 2008.76
A/avian/Japan/8KI0150/2008|2008-10-08, 2008.76
A/avian/Japan/8KI0102/2008|2008-10-08, 2008.76
A/avian/Japan/8KI0162/2008|2008-10-08, 2008.76
A/avian/Japan/8KI0180/2008|2008-10-08, 2008.76
A/baikal_teal/Xianghai/XH-28C/2012|2012-05-15, 2012.37
A/duck/Chiba/10/06|2006-01-01, 2006.00
A/duck/Chiba/5/06|2006-01-01, 2006.00
A/duck/Chiba/24/06|2006-01-01, 2006.00
A/duck/Chiba/3/06|2006-01-01, 2006.00
A/duck/Chiba/4/06|2006-01-01, 2006.00
A/duck/Chiba/8/06|2006-01-01, 2006.00
A/duck/Chiba/20/06|2006-01-01, 2006.00
A/duck/Hokkaido/W4/2010|2010-09-30, 2010.74
A/duck/Chiba/33/2008|2008-01-01, 2008.00
A/duck/Chiba/34/2008|2008-01-01, 2008.00
A/duck/Quang_Ninh/14/2013|2013-04-10, 2013.27
A/duck/Quang_Ninh/90c112/2013|2013-06-07, 2013.43
A/duck/Vietnam/LBM559/2013|2013-12-10, 2013.93
A/aquatic_bird/Gunsan/CN3/2005|2005-02-20, 2005.14
A/aquatic_bird/Korea/CN-3/2005|2005-01-01, 2005.00
A/chicken/Laos/A0573/2007|2007-01-01, 2007.00
A/duck/Shimane/321006/2014|2014-10-01, 2014.74
A/duck/Vietnam/LBM553/2013|2013-12-10, 2013.93
A/muscovy_duck/Quang_Ninh/131/2013|2013-12-11, 2013.93
A/common_teal/Sakhalin/66c/2020|2020-09-08, 2020.68
A/gadwall/Amur_region/71b/2020|2020-09-02, 2020.66
A/Common_Teal/Sakhalin/OD17/2019|2019-09-19, 2019.71
A/duck/Hokkaido/W150/2015|2015-10-22, 2015.80
A/duck/Nagasaki/421017/2015|2015-10-01, 2015.74
A/northern_pintail/Alaska/830/2014|2014-09-30, 2014.74
A/northern_pintail/Alaska/870/2014|2014-09-29, 2014.74
A/northern_pintail/Alaska/861/2014|2014-09-28, 2014.73
A/glaucous-winged_gull/Alaska/473/2012|2012-09-28, 2012.73
A/northern_pintail/Alaska/78/2012|2012-09-25, 2012.73
A/emperor_goose/Alaska/UGAI15-8432/2015|2015-12-14, 2015.94
A/emperor_goose/Alaska/UGAI15-8440/2015|2015-12-15, 2015.95
A/emperor_goose/Alaska/UGAI15-8446/2015|2015-12-16, 2015.95
A/emperor_goose/Alaska/UGAI15-8448/2015|2015-12-16, 2015.95
A/emperor_goose/Alaska/UGAI15-8436/2015|2015-12-15, 2015.95
A/emperor_goose/Alaska/UGAI15-8435/2015|2015-12-14, 2015.94
A/emperor_goose/Alaska/UGAI15-8444/2015|2015-12-15, 2015.95
A/emperor_goose/Alaska/UGAI15-8445/2015|2015-12-15, 2015.95
A/emperor_goose/Alaska/UGAI15-8461/2015|2015-12-17, 2015.95
A/emperor_goose/Alaska/UGAI15-8463/2015|2015-12-17, 2015.95
A/northern_pintail/Alaska/UGAI15-7415/2015|2015-10-04, 2015.75
A/northern_pintail/Alaska/UGAI15-7417/2015|2015-10-04, 2015.75
A/duck/Gunma/1/2016|2016-10-05, 2016.75
A/duck/Gunma/2/2016|2016-10-05, 2016.75
A/green-winged_teal/Alaska/AK19-540/2019|2019-10-05, 2019.75
A/northern_pintail/Alaska/AK20-434/2020|2020-10-06, 2020.76
A/duck/Saga/411008/2014|2014-10-01, 2014.74
A/American_green-winged_teal/Alaska/44419-209/2008|2008-08-14, 2008.61
A/northern_pintail/Alaska/44419-062/2008|2008-08-06, 2008.59
A/northern_pintail/Alaska/44419-104/2008|2008-08-06, 2008.59
A/American_green-winged_teal/Alaska/44419-233/2008|2008-08-10, 2008.60
A/northern_pintail/Alaska/44500-089/2009|2009-08-10, 2009.60
A/northern_pintail/Alaska/44500-075/2009|2009-08-10, 2009.60
A/American_green-winged_teal/Interior_Alaska/10BM08222R0/2010|2010-08-04, 2010.59
A/green-winged_teal/Alaska/794/2012|2012-10-06, 2012.76
A/northern_pintail/Alaska/795/2012|2012-10-05, 2012.75
A/mallard/Alberta/131/2015|2015-08-11, 2015.61
A/ruddy_turnstone/Delaware_Bay/368/2016|2016-05-24, 2016.39
