Map from character to field name
A:	H3
B:	H3N1
C:	H3N2
D:	H3N3
E:	H3N4
F:	H3N5
G:	H3N6
H:	H3N7
I:	H3N8
J:	H3N9
K:	?


Substitution rate (mu): 9.143159

Equilibrium frequencies (pi_i):
  A: 0.1228
  B: 0.0851
  C: 0.0636
  D: 0.1165
  E: 0.1112
  F: 0.1129
  G: 0.0679
  H: 0.141
  I: 0.0389
  J: 0.1401

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.6651	0.9575	0.6576	0.661	0.6605	1.2843	0.6601	1.4758	0.6607
  B	0.6651	0	0.9716	1.1818	0.6594	0.6591	0.6491	0.6582	4.8779	0.6586
  C	0.9575	0.9716	0	1.7845	0.5874	0.588	5.8285	0.5711	22.4712	0.8247
  D	0.6576	1.1818	1.7845	0	0.6593	0.6588	1.3152	1.3173	2.8214	0.6586
  E	0.661	0.6594	0.5874	0.6593	0	0.6621	0.752	0.6622	1.487	0.6627
  F	0.6605	0.6591	0.588	0.6588	0.6621	0	0.6372	0.6615	1.3087	0.6621
  G	1.2843	0.6491	5.8285	1.3152	0.752	0.6372	0	0.8154	22.2772	0.633
  H	0.6601	0.6582	0.5711	1.3173	0.6622	0.6615	0.8154	0	0.6025	0.6621
  I	1.4758	4.8779	22.4712	2.8214	1.487	1.3087	22.2772	0.6025	0	0.5284
  J	0.6607	0.6586	0.8247	0.6586	0.6627	0.6621	0.633	0.6621	0.5284	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0817	0.1176	0.0808	0.0812	0.0811	0.1578	0.0811	0.1813	0.0812
  B	0.0566	0	0.0827	0.1006	0.0561	0.0561	0.0552	0.056	0.4151	0.056
  C	0.0609	0.0618	0	0.1136	0.0374	0.0374	0.3709	0.0363	1.4301	0.0525
  D	0.0766	0.1377	0.2079	0	0.0768	0.0767	0.1532	0.1535	0.3287	0.0767
  E	0.0735	0.0733	0.0653	0.0733	0	0.0736	0.0836	0.0736	0.1654	0.0737
  F	0.0745	0.0744	0.0664	0.0744	0.0747	0	0.0719	0.0747	0.1477	0.0747
  G	0.0871	0.044	0.3955	0.0892	0.051	0.0432	0	0.0553	1.5115	0.0429
  H	0.0931	0.0928	0.0805	0.1858	0.0934	0.0933	0.115	0	0.085	0.0934
  I	0.0574	0.1896	0.8737	0.1097	0.0578	0.0509	0.8661	0.0234	0	0.0205
  J	0.0926	0.0923	0.1155	0.0923	0.0928	0.0928	0.0887	0.0928	0.074	0
