Map from character to field name
A:	H3
B:	H3N1
C:	H3N2
D:	H3N3
E:	H3N4
F:	H3N5
G:	H3N6
H:	H3N7
I:	H3N8
J:	H3N9
K:	?


Substitution rate (mu): 9.105643

Equilibrium frequencies (pi_i):
  A: 0.1222
  B: 0.085
  C: 0.0635
  D: 0.1026
  E: 0.1076
  F: 0.118
  G: 0.067
  H: 0.1544
  I: 0.0405
  J: 0.1393

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.6714	0.9669	0.6637	0.6672	0.6665	1.296	0.6662	1.4931	0.6669
  B	0.6714	0	0.99	1.1654	0.6656	0.6651	0.6565	0.664	4.9064	0.6648
  C	0.9669	0.99	0	1.8847	0.5947	0.5906	5.9464	0.5678	22.3909	0.8326
  D	0.6637	1.1654	1.8847	0	0.6652	0.6645	1.4344	0.9826	3.3003	0.6643
  E	0.6672	0.6656	0.5947	0.6652	0	0.6683	0.6656	0.6684	1.5855	0.6688
  F	0.6665	0.6651	0.5906	0.6645	0.6683	0	0.7736	0.6677	1.2059	0.6682
  G	1.296	0.6565	5.9464	1.4344	0.6656	0.7736	0	0.6801	22.4462	0.6385
  H	0.6662	0.664	0.5678	0.9826	0.6684	0.6677	0.6801	0	0.5216	0.6684
  I	1.4931	4.9064	22.3909	3.3003	1.5855	1.2059	22.4462	0.5216	0	0.5348
  J	0.6669	0.6648	0.8326	0.6643	0.6688	0.6682	0.6385	0.6684	0.5348	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.082	0.1182	0.0811	0.0815	0.0815	0.1584	0.0814	0.1825	0.0815
  B	0.0571	0	0.0842	0.0991	0.0566	0.0565	0.0558	0.0564	0.4171	0.0565
  C	0.0614	0.0629	0	0.1197	0.0378	0.0375	0.3775	0.0361	1.4216	0.0529
  D	0.0681	0.1196	0.1934	0	0.0683	0.0682	0.1472	0.1008	0.3386	0.0682
  E	0.0718	0.0716	0.064	0.0716	0	0.0719	0.0716	0.0719	0.1706	0.0719
  F	0.0786	0.0785	0.0697	0.0784	0.0788	0	0.0913	0.0788	0.1423	0.0788
  G	0.0868	0.044	0.3985	0.0961	0.0446	0.0518	0	0.0456	1.5041	0.0428
  H	0.1028	0.1025	0.0877	0.1517	0.1032	0.1031	0.105	0	0.0805	0.1032
  I	0.0605	0.1986	0.9066	0.1336	0.0642	0.0488	0.9088	0.0211	0	0.0217
  J	0.0929	0.0926	0.116	0.0925	0.0932	0.0931	0.0889	0.0931	0.0745	0
