Map from character to field name
A:	Avian
B:	Camel
C:	Canine
D:	Equine
E:	Feline
F:	Human
G:	Mink
H:	Seal
I:	Swine
J:	?


Substitution rate (mu): 2.744842

Equilibrium frequencies (pi_i):
  A: 0.1345
  B: 0.1044
  C: 0.1068
  D: 0.0728
  E: 0.2011
  F: 0.0114
  G: 0.0799
  H: 0.0749
  I: 0.2141

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.4959	0.9494	1.1062	0.3559	2.5471	0.5513	1.6886	2.4597
  B	0.4959	0	0.8205	1.2354	0.8596	0.7968	0.8595	0.8589	0.5174
  C	0.9494	0.8205	0	1.1955	4.3246	0.7915	0.8285	0.8298	0.726
  D	1.1062	1.2354	1.1955	0	0.7912	0.8115	0.8312	0.8331	0.8329
  E	0.3559	0.8596	4.3246	0.7912	0	1.1181	0.8576	0.8566	0.3776
  F	2.5471	0.7968	0.7915	0.8115	1.1181	0	0.8111	0.8137	18.0814
  G	0.5513	0.8595	0.8285	0.8312	0.8576	0.8111	0	0.8585	1.4296
  H	1.6886	0.8589	0.8298	0.8331	0.8566	0.8137	0.8585	0	0.5816
  I	2.4597	0.5174	0.726	0.8329	0.3776	18.0814	1.4296	0.5816	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I
  A	0	0.0667	0.1277	0.1488	0.0479	0.3426	0.0742	0.2271	0.3309
  B	0.0518	0	0.0857	0.129	0.0898	0.0832	0.0898	0.0897	0.054
  C	0.1014	0.0876	0	0.1277	0.4619	0.0845	0.0885	0.0886	0.0775
  D	0.0806	0.09	0.0871	0	0.0576	0.0591	0.0605	0.0607	0.0607
  E	0.0716	0.1728	0.8696	0.1591	0	0.2248	0.1724	0.1722	0.0759
  F	0.0291	0.0091	0.0091	0.0093	0.0128	0	0.0093	0.0093	0.2068
  G	0.0441	0.0687	0.0662	0.0664	0.0686	0.0648	0	0.0686	0.1143
  H	0.1265	0.0643	0.0622	0.0624	0.0642	0.061	0.0643	0	0.0436
  I	0.5265	0.1108	0.1554	0.1783	0.0808	3.8704	0.306	0.1245	0
