Map from character to field name
A:	H3
B:	H3N1
C:	H3N2
D:	H3N3
E:	H3N4
F:	H3N5
G:	H3N6
H:	H3N7
I:	H3N8
J:	H3N9
K:	?


Substitution rate (mu): 5.092937

Equilibrium frequencies (pi_i):
  A: 0.1378
  B: 0.063
  C: 0.1012
  D: 0.1019
  E: 0.1386
  F: 0.1218
  G: 0.0777
  H: 0.1187
  I: 0.0188
  J: 0.1205

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.5487	0.3992	0.5616	0.5661	0.5643	1.0489	0.5658	1.1533	0.5662
  B	0.5487	0	9.4005	0.8206	0.5478	0.5497	0.7168	0.5505	9.3592	0.5519
  C	0.3992	9.4005	0	1.0263	0.2542	0.4067	5.1934	0.5678	28.1686	0.3651
  D	0.5616	0.8206	1.0263	0	0.5625	0.6549	1.2315	0.9619	4.6126	0.5632
  E	0.5661	0.5478	0.2542	0.5625	0	0.5655	0.7905	0.5669	1.1662	0.5674
  F	0.5643	0.5497	0.4067	0.6549	0.5655	0	0.5268	1.1727	2.3437	0.5657
  G	1.0489	0.7168	5.1934	1.2315	0.7905	0.5268	0	0.6172	35.304	0.6644
  H	0.5658	0.5505	0.5678	0.9619	0.5669	1.1727	0.6172	0	1.1988	0.5669
  I	1.1533	9.3592	28.1686	4.6126	1.1662	2.3437	35.304	1.1988	0	1.7407
  J	0.5662	0.5519	0.3651	0.5632	0.5674	0.5657	0.6644	0.5669	1.7407	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0756	0.055	0.0774	0.078	0.0778	0.1446	0.078	0.159	0.078
  B	0.0346	0	0.5923	0.0517	0.0345	0.0346	0.0452	0.0347	0.5897	0.0348
  C	0.0404	0.9511	0	0.1038	0.0257	0.0412	0.5254	0.0575	2.8499	0.0369
  D	0.0572	0.0836	0.1046	0	0.0573	0.0667	0.1255	0.098	0.4701	0.0574
  E	0.0785	0.0759	0.0352	0.078	0	0.0784	0.1095	0.0786	0.1616	0.0786
  F	0.0687	0.067	0.0495	0.0798	0.0689	0	0.0642	0.1429	0.2855	0.0689
  G	0.0814	0.0557	0.4033	0.0956	0.0614	0.0409	0	0.0479	2.7415	0.0516
  H	0.0672	0.0654	0.0674	0.1142	0.0673	0.1392	0.0733	0	0.1423	0.0673
  I	0.0217	0.1757	0.5288	0.0866	0.0219	0.044	0.6627	0.0225	0	0.0327
  J	0.0682	0.0665	0.044	0.0679	0.0684	0.0682	0.0801	0.0683	0.2098	0
