Map from character to field name
A:	H3
B:	H3N1
C:	H3N2
D:	H3N3
E:	H3N4
F:	H3N5
G:	H3N6
H:	H3N7
I:	H3N8
J:	H3N9
K:	?


Substitution rate (mu): 4.806151

Equilibrium frequencies (pi_i):
  A: 0.1359
  B: 0.0634
  C: 0.1041
  D: 0.1062
  E: 0.1373
  F: 0.1209
  G: 0.073
  H: 0.1197
  I: 0.0169
  J: 0.1227

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.5661	0.4096	0.5796	0.5845	0.5825	1.0801	0.584	1.1719	0.5845
  B	0.5661	0	9.2407	0.8686	0.5652	0.5671	0.7375	0.5676	9.0126	0.5686
  C	0.4096	9.2407	0	0.9811	0.2592	0.4083	6.0185	0.8525	26.7944	0.3834
  D	0.5796	0.8686	0.9811	0	0.5806	0.6634	1.6831	0.9989	4.3716	0.5811
  E	0.5845	0.5652	0.2592	0.5806	0	0.5838	0.8284	0.5853	1.1753	0.5858
  F	0.5825	0.5671	0.4083	0.6634	0.5838	0	0.5422	1.2039	2.3829	0.5839
  G	1.0801	0.7375	6.0185	1.6831	0.8284	0.5422	0	0.5723	33.9483	0.8106
  H	0.584	0.5676	0.8525	0.9989	0.5853	1.2039	0.5723	0	0.7757	0.5852
  I	1.1719	9.0126	26.7944	4.3716	1.1753	2.3829	33.9483	0.7757	0	1.6475
  J	0.5845	0.5686	0.3834	0.5811	0.5858	0.5839	0.8106	0.5852	1.6475	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0769	0.0557	0.0788	0.0794	0.0792	0.1468	0.0794	0.1593	0.0794
  B	0.0359	0	0.5854	0.055	0.0358	0.0359	0.0467	0.036	0.571	0.036
  C	0.0426	0.9618	0	0.1021	0.027	0.0425	0.6264	0.0887	2.7888	0.0399
  D	0.0615	0.0922	0.1042	0	0.0616	0.0704	0.1787	0.106	0.4641	0.0617
  E	0.0803	0.0776	0.0356	0.0797	0	0.0802	0.1138	0.0804	0.1614	0.0804
  F	0.0704	0.0686	0.0494	0.0802	0.0706	0	0.0655	0.1455	0.2881	0.0706
  G	0.0789	0.0538	0.4395	0.1229	0.0605	0.0396	0	0.0418	2.4789	0.0592
  H	0.0699	0.0679	0.102	0.1195	0.07	0.1441	0.0685	0	0.0928	0.07
  I	0.0198	0.1525	0.4534	0.074	0.0199	0.0403	0.5744	0.0131	0	0.0279
  J	0.0717	0.0698	0.047	0.0713	0.0719	0.0716	0.0994	0.0718	0.2021	0
